Started Wise polling loop for BIORAD_IH500_DEVICE_01 (interval=1.0s)
2026-03-18T15:47:32.337+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:47:33.761+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:47:34.795+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:47:37.318+01:00 online=False stale=True DI0=0 DI1=0 DI2=0 DI3=0 err='HTTPConnectionPool(host='192.168.137.101', port=80): Read timed out. (read timeout=1.5)'
2026-03-18T15:47:38.362+01:00 online=True stale=False DI0=1 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:47:39.379+01:00 online=True stale=False DI0=1 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:47:40.415+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:47:41.435+01:00 online=True stale=False DI0=1 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:47:42.466+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:47:43.497+01:00 online=True stale=False DI0=0 DI1=1 DI2=0 DI3=0 err=''
2026-03-18T15:47:44.517+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:47:45.539+01:00 online=True stale=False DI0=1 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:47:46.562+01:00 online=True stale=False DI0=1 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:47:47.791+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:47:48.820+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:47:49.846+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:47:50.867+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:47:51.892+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:47:52.923+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
2026-03-18T15:47:54.760+01:00 online=True stale=False DI0=0 DI1=0 DI2=0 DI3=0 err=''
